05/01/2018 12:12:23 [Program starts.]
05/01/2018 12:12:23 [Arg used:][{'log_root': '/home/andre/Documents/DL_p2/logs/'}, {'hidden_units': 20}, {'init_type': 'uniform'}, {'normalize_data': True}, {'remove_DC_level': True}, {'depth': 1}, {'epoch_number': 400}, {'criterion': 'CrossEntropy'}, {'optimizer': 'Adadelta'}, {'last_ms': 100}]
05/01/2018 12:12:24 Training loss 0.402085 - iteration 0/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.360489 - iteration 1/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.462928 - iteration 2/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.304087 - iteration 3/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.282998 - iteration 4/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.265885 - iteration 5/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.251793 - iteration 6/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.239917 - iteration 7/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.229717 - iteration 8/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.369182 - iteration 9/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.218305 - iteration 10/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.211850 - iteration 11/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.205730 - iteration 12/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.199651 - iteration 13/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.193484 - iteration 14/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.186991 - iteration 15/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.180019 - iteration 16/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.372532 - iteration 17/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.180826 - iteration 18/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.174493 - iteration 19/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.167334 - iteration 20/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.159348 - iteration 21/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.150394 - iteration 22/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.140550 - iteration 23/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.129875 - iteration 24/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.118561 - iteration 25/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.106816 - iteration 26/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.095071 - iteration 27/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.083608 - iteration 28/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.072845 - iteration 29/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.063074 - iteration 30/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.054484 - iteration 31/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.652949 - iteration 32/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.507443 - iteration 33/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.114875 - iteration 34/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.103188 - iteration 35/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.091340 - iteration 36/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.079672 - iteration 37/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.068582 - iteration 38/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.058504 - iteration 39/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.049672 - iteration 40/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.650889 - iteration 41/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.080738 - iteration 42/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.069142 - iteration 43/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.058523 - iteration 44/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.049165 - iteration 45/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.041312 - iteration 46/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.034921 - iteration 47/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.029885 - iteration 48/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.025966 - iteration 49/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.022929 - iteration 50/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.020559 - iteration 51/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.018673 - iteration 52/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.017137 - iteration 53/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.015852 - iteration 54/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.014759 - iteration 55/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.840491 - iteration 56/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.049673 - iteration 57/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.039154 - iteration 58/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.030862 - iteration 59/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.024649 - iteration 60/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.020180 - iteration 61/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.772034 - iteration 62/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.057988 - iteration 63/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.045860 - iteration 64/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.035949 - iteration 65/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.028287 - iteration 66/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.022620 - iteration 67/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.018598 - iteration 68/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.015802 - iteration 69/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.013861 - iteration 70/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.012480 - iteration 71/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.011464 - iteration 72/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.010679 - iteration 73/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.010041 - iteration 74/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.862827 - iteration 75/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.046736 - iteration 76/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.035293 - iteration 77/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.026596 - iteration 78/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.020331 - iteration 79/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.016058 - iteration 80/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.013225 - iteration 81/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.011358 - iteration 82/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.833025 - iteration 83/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.050233 - iteration 84/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.654100 - iteration 85/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.079509 - iteration 86/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.063690 - iteration 87/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.049853 - iteration 88/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.038415 - iteration 89/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.029414 - iteration 90/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.721658 - iteration 91/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.569826 - iteration 92/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.099120 - iteration 93/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.083659 - iteration 94/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.069091 - iteration 95/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.055945 - iteration 96/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.044524 - iteration 97/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.035154 - iteration 98/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.027807 - iteration 99/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.022330 - iteration 100/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.018400 - iteration 101/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.015632 - iteration 102/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.013681 - iteration 103/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.012296 - iteration 104/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.834933 - iteration 105/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.048358 - iteration 106/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.037506 - iteration 107/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.028986 - iteration 108/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.022604 - iteration 109/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.018066 - iteration 110/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.014924 - iteration 111/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.012789 - iteration 112/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.011317 - iteration 113/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.010283 - iteration 114/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.009523 - iteration 115/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.008935 - iteration 116/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.008458 - iteration 117/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.008050 - iteration 118/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.007692 - iteration 119/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.007370 - iteration 120/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.007074 - iteration 121/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.890054 - iteration 122/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.043049 - iteration 123/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.683614 - iteration 124/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.074239 - iteration 125/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.058188 - iteration 126/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.044459 - iteration 127/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.672753 - iteration 128/1000, epoch 0/1
05/01/2018 12:12:24 Training loss 0.074529 - iteration 129/1000, epoch 0/1
